기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=
CASE-BEQ-PUREB-001                  → CASE-BEQ-000001
MB-MSI-B650-001                     → MB-MSI-000006
MB-MSI-B660-001                     → MB-MSI-000001
MB-MSI-B760-001                     → MB-MSI-000003
MB-MSI-X670E-001                    → MB-MSI-000005
MB-MSI-Z690-001                     → MB-MSI-000002
MB-MSI-Z790-001                     → MB-MSI-000004
PSU-BEQ-PURE-700-001                → PSU-BEQ-000001
PSU-BEQ-STRAIGHT-1000-001           → PSU-BEQ-000002
PSU-COOL-MWE-650-001                → PSU-COOL-000001
PSU-CORS-HX1000-001                 → PSU-CORS-000006
PSU-CORS-RM1000X-001                → PSU-CORS-000005
PSU-CORS-RM550X-001                 → PSU-CORS-000001
PSU-CORS-RM650X-001                 → PSU-CORS-000002
PSU-CORS-RM750X-001                 → PSU-CORS-000003
PSU-CORS-RM850X-001                 → PSU-CORS-000004
PSU-EVGA-G6-750-001                 → PSU-EVGA-000001
PSU-EVGA-G6-850-001                 → PSU-EVGA-000002
PSU-FSP-HYDRO-650-001               → PSU-FSP-000001
PSU-FSP-HYDRO-850-001               → PSU-FSP-000002
PSU-MSI-MAG-650-001                 → PSU-MSI-000001
PSU-MSI-MAG-750-001                 → PSU-MSI-000002
PSU-MSI-MEG-1000-001                → PSU-MSI-000003
PSU-SEAS-FOCUS-650-001              → PSU-SEAS-000001
PSU-SEAS-FOCUS-750-001              → PSU-SEAS-000002
PSU-SEAS-FOCUS-850-001              → PSU-SEAS-000003
PSU-SEAS-PRIME-1000-001             → PSU-SEAS-000004
RAM-CORS-D4-16-3200-001             → RAM-CORS-000001
RAM-CORS-D4-32-3600-001             → RAM-CORS-000002
RAM-CORS-D5-32-5600-001             → RAM-CORS-000003
RAM-CORS-D5-32-6000-001             → RAM-CORS-000004
RAM-CORS-D5-64-6400-001             → RAM-CORS-000005
RAM-CRUC-D4-16-3200-001             → RAM-CRUC-000001
RAM-CRUC-D5-32-5200-001             → RAM-CRUC-000002
RAM-GSKL-D4-16-3600-001             → RAM-GSKL-000001
RAM-GSKL-D4-32-3600-001             → RAM-GSKL-000002
RAM-GSKL-D5-16-5600-001             → RAM-GSKL-000003
RAM-GSKL-D5-32-6000-001             → RAM-GSKL-000004
RAM-GSKL-D5-32-6400-001             → RAM-GSKL-000005
RAM-GSKL-D5-64-6000-001             → RAM-GSKL-000006
RAM-KING-D5-32-5600-001             → RAM-KING-000001
RAM-SAMS-D4-16-3200-001             → RAM-SAMS-000001
RAM-SAMS-D4-32-3200-001             → RAM-SAMS-000002
RAM-SAMS-D5-16-4800-001             → RAM-SAMS-000003
RAM-SAMS-D5-32-4800-001             → RAM-SAMS-000004
RAM-TFOR-D4-16-3200-001             → RAM-TFOR-000001
RAM-TFOR-D5-32-6000-001             → RAM-TFOR-000002
SSD-CRUC-P5P-1T-001                 → SSD-CRUC-000001
SSD-CRUC-T700-1T-001                → SSD-CRUC-000002
SSD-KING-KC3K-1T-001                → SSD-KING-000001
SSD-KING-NV2-1T-001                 → SSD-KING-000002
SSD-SAMS-870E-1T-001                → SSD-SAMS-000008
SSD-SAMS-870E-2T-001                → SSD-SAMS-000009
SSD-SAMS-980-1T-001                 → SSD-SAMS-000002
SSD-SAMS-980-500-001                → SSD-SAMS-000001
SSD-SAMS-980P-1T-001                → SSD-SAMS-000003
SSD-SAMS-980P-2T-001                → SSD-SAMS-000004
SSD-SAMS-990P-1T-001                → SSD-SAMS-000005
SSD-SAMS-990P-2T-001                → SSD-SAMS-000006
SSD-SAMS-990P-4T-001                → SSD-SAMS-000007
SSD-SK-P41-1T-001                   → SSD-SK-000001
SSD-SK-P41-2T-001                   → SSD-SK-000002
SSD-SOLI-P3P-1T-001                 → SSD-SOLI-000001
SSD-TFOR-MP44-1T-001                → SSD-TFOR-000001
SSD-WD-SN770-1T-001                 → SSD-WD-000001
SSD-WD-SN850X-1T-001                → SSD-WD-000002
SSD-WD-SN850X-2T-001                → SSD-WD-000003
